Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2017-08-28,2017-08-30,3025,PRIME DELI,Dining,10.97,
2017-08-26,2017-08-28,3025,THE GAFF,Dining,30.00,
2017-08-25,2017-08-28,3025,JOE SENT ME,Dining,24.46,
2017-08-25,2017-08-28,3025,THE GAFF,Dining,8.49,
2017-08-21,2017-08-21,3025,CAPITAL ONE ONLINE PYMT,Payment/Credit,,492.90
2017-08-12,2017-08-14,3025,PEET'S COFFEE & TEA N1,Dining,9.72,
2017-08-10,2017-08-12,3025,PINKBERRY #5015,Dining,6.69,
2017-08-09,2017-08-09,3025,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,12.00
2017-08-07,2017-08-08,3025,WGBH,Other Services,5.00,
2017-08-01,2017-08-02,3025,TJWEDDINGREGISTRY.COM,Other Services,265.74,
